,listing,price,brand
138,"Nail Polish Yellow Crossbody Bag
          
      NWT",,40.0
139,Celine Medium Frame shoulder bag,,599.0
140,Marc by Marc Jacobs New Q Hillier Navy Leather Shoulder / Crossbody Hobo Bag,,75.0
141,"Coach Signature Jacquard Wristlet
          
      NWT",,95.0
142,Coach Black Leather Tote Bag,,145.0
143,"Von Dutch | Hot Pink Cheetah Shoulder Purse Bag
          
      NWT",,79.0
144,Brighton Black Embossed Tote Bag with Leather Handles,,45.0
145,Kate Spade Black Leather Chain Shoulder Bag,,40.0
146,"Funko Marvel Woman Neon Print 11.5"" Mini Backpack (Target Exclusive)",,25.0
147,TRAVELSMITH | RFID Safe black and white crossbody purse‎ and wallet,,25.0
148,"Aimee Kestenberg Designer Cream Crossbody Bag  Retail-$120
          
      NWT",,69.0
149,Anna Sui X I.N.C Pins Stars Crossbody Bag,,48.0
150,Kate Spade Serena Baby bag with Convertible Changing Pad in B/ W Basic Nylon,,72.0
151,Betsey Johnson Red Vegan Leather Clutch Wristlet,,30.0
152,Baggallini crossbody bag,,30.0
153,"Michael Kors Jet Set Travel Large Top Zip Tote Fern Green Multi Stripe
          
      Boutique",,145.0
154,Louis Vuitton Stylish White Mini Bag with Blue Accents,,370.0
155,Michael Kors Pink Tote with Silver Hardware,,70.0
156,Michael Kors Yellow Marina Large Canvas Drawstring Tote Bag,,79.0
157,BOTKIER New York black backpack purse,,35.0
158,Joy Mangano Black Nylon Crossbody Bag | Gold Hardware | Organizer | NWOT,,38.0
159,"NWT Urban Outfitters Y2K Lime Green Handbag
          
      NWT",,25.0
160,DOONEY & BOURKE Grommet Shopper Leather‎ Large Black Tote Purse w/ Zip Closure,,32.0
161,TikTok Purse,,15.0
162,Kate Spade New York Gold Glitter Zip-Around Wallet | Sparkle Statement,,26.0
163,GUCCI Authentic monogram compact wallet bifold with coin‎ pouch EUC,,120.0
164,"New Kate Spade ♠️ Leather Wallet. Black.
          
      NWT",,85.0
165,Kate Spade - Ooh La La Francis Tote Coated Canvas VERY GOOD CONDITION  Storybook,,119.0
166,Red Canvas Clutch,,9.0
167,"Loungefly Star Wars The Mandalorian Grogu Passport Crossbody Bag‎ The Child NWT
          
      NWT",,40.0
168,"Sonia Kashuk Large Travel Makeup & Toiletry Bag with brushes - NWT!  beauty bags
          
      NWT",,27.0
169,Trendy Crossbody Bag Vegan Leather Adjustable Strap Quilted Design Spacious,,60.0
170,Coach Authentic Vintage Black Leather Willis Crossbody Bag Purse‎ Style J5C 9927,,269.0
171,"NEW Hunter Original Logo Grey Nylon Drawstring Duffle Tote Gym Travel Bag
          
      NWT",,24.0
172,Kate Spade Montford Park Floral Angelica black and blue Crossbody Hydrangea,,80.0
173,Ron Jon Surf Shop Blue Heart shoulder bag White Strap,,21.0
174,Just Campagne Leather handle canvas bags made in France,,30.0
175,"Pink Mini Travel Jewelry Case - NWT
          
      NWT",,13.0
176,Authentic Vintage Gucci Long Wallet Red Leather mn292-020626,,595.0
177,"Poshmark App Comment Exchange Screenshot
          
      NWT",,989.0
178,Top Shop Snake Pattern Mini Grab Bag Knot Loop Closure,,30.0
179,"Glitzy Girlz Hot Pink Envelope Clutch‎
          
      NWT",,20.0
180,"NWT MZ Wallace Metro Tote Deluxe Carry It Forward Embroidered Bag
          
      NWT",,200.0
181,Betsey Johnson White carryall satchel crossbody See Description,,24.0
182,"Premium Canvas Laptop Backpack - Durable, Comfortable, Everyday Use
          
      NWT",,40.0
183,Giani Bernini Gold Cream Signature Print Crossbody Bag,,35.0
184,"Juicy Couture Tied With A Bow shoulder bag- pink diamond
          
      NWT",,65.0
185,"NWOT Victoria's Secret Pink and White Cooler Tote Bag
          
      NWT",,34.0
186,Vera Bradley Night and Day Accordion Style Zip Wallet Clutch,,28.0
187,Miu Miu Tan Croc-Embossed Wallet,,70.0
188,"Madewell The Essential Medium Bucket Tote in Chocolate Raisin Brown
          
      NWT",,110.0
189,Calvin Klein Pink Leather Tote Bag with Key Chain,,46.0
190,"Puffer Woven & Puffer Squares Cossbody Purse
          
      NWT",,10.0
191,"Pratesi Castalia Baguette Lady Bag STUNNING!- Brunelleschi Chianti with Dust Bag
          
      NWT",,97.0
192,Kate Spade Pebble Leather Shoulder Bag Purse Hobo Lilac With Gold Hardware-Snake,,57.0
193,"Guess Tuane Tote Bag Beachy Casual Summer Tan White
          
      NWT",,75.0
194,Bluefish Hand Painted Cotton Shopping Canvas Tote Bag 16x18”,,29.0
195,Lug Black Crossbody Rainbow Stitch Bag,,31.0
