,listing,price
158,"NWT Brahmin esme coral snapdragon 
Floral Pink Shoulder Bag
          
      NWT",325.0
159,Kate Spade Green Polka Dot Daycation Bon Shopper Tote,48.0
160,Vintage Louis Vuitton Tricolor Noe in Red Castillian Epi Leather,376.0
161,"Badgley Mischka Sequin Black Women's Bag
          
      NWT",65.0
162,American Leather Shoulder Bag - Olive,49.0
163,"JU JU BE Mighty Bag. Waterproof Teflon
          
      Boutique",35.0
164,"🌼Michael Kors Purse
          
      NWT",219.0
165,"Frye Women’s Leather Belt Bag Dark Brown Small Medium Waist Pack
          
      NWT",75.0
166,Louis Vuitton Monogram Envelope Carte De Vistie FULL INCLUSION,399.0
167,Guess G logo snakeskin raffia shoulder purse travel bag Y2K Bratz Grunge 90s,20.0
168,Dior Beige Vintage Honeycomb Canvas Chain Crossbody Bag,650.0
169,"Kate spade Madison Large Slim Bifold Wallet (tutu pink)
          
      NWT",89.0
170,Coach Madison Metallic Gesso Op Art Tote,199.0
171,"Juicy Couture NWT pink barrel shoulder purse logo sparkle detail
          
      NWT",52.0
172,Gucci Pelham Vintage Shoulder Bag With Gold Tone Hardware & Braided Handles EUC,499.0
173,"Kipling Crossbody Metallic Gold Bag Adjustable Strap 6x8""",28.0
174,Abera Convertible Backpack - Able,160.0
175,"DOONEY & BOURKE , Ostrich Hobo.",178.0
176,KATE SPADE NEW YORK Saffiano Leather Handle Bag,90.0
177,Bohemian Navy Tie-Dye Crossbody Bag,40.0
178,"Coach CJ672 STANTON CROSSBODY WITH HOUNDSTOOTH PRINT
          
      NWT",165.0
179,"Victorias Secret Black Bag with Tiger Print Clutch
          
      NWT",40.0
180,Jen & Co. Cleo Vegan Coin Pouch Purse with Chain Strap Light Gray,15.0
181,Adrienne Vittadini Women's Card Case Wallet Burgundy Embossed Fleur De Lis NWT,25.0
182,Vintage CRAZY HORSE Leather Crossbody Brown Shoulder Bag Please Read,36.0
183,LOUIS VUITTON EPI LEATHER WALLET,128.0
