,listing,size,brand,price
160,Y2K Marc by Marc Jacobs Bold Teal Blue‎ Small Rectangle Crossbody Purse Bag,,,63.0
161,Michael Kors Nylon Tote,,,15.0
162,Christian Louboutin Pink Paloma Studded Clutch,,,1299.0
163,Loungefly Little Mermaid Crossbody - RARE - EUC,,,48.0
164,"Michael Kors Travel Small Duffle Leather Crossbody Light Cream
          
      NWT",,,109.0
165,Steve‎ Madden Bevelyn Crossbody Bag Purse Toffee RARE FALL 2022 W/ GOLD HARDWARE,,,43.0
166,"♠️kate spade 454 Pebbled Leather Small Shoulder Bag, Black NWT
          
      NWT",,,209.0
167,Coach Black Leather Soho Checkbook Wallet Silver Buckle Clutch Purse,,,65.0
168,Marvel Spiderman Christmas Sweater Mini Backpack BoxLunch Glow in the Dark,,,25.0
169,Louis Vuitton Damier Graphite Black/Gray Vertical Zip Long Wallet (EUC)COA🤍🖤🤍,,,375.0
170,"Michael Kors Tan Croc-Embossed Leather Cardholder
          
      NWT",,,45.0
171,🤍🤍MANU ATELIER BAGUETTE/SHOULDER SOFT CALF LEATHER BAG!🤍🤍,,,125.0
172,"JUICY COUTURE WALLET,Juicy Couture Purple Heart Clutch
          
      NWT",,,35.0
173,"Hobo Nash Crossbody Bohocore, Westerncore, Fairycore, Grannychic Purse",,,99.0
174,Patricia Nash Felicita Leather Phone Crossbody Deep Blue Sea,,,69.0
175,COACH F17676 Gallery East West Signature Tote Brown/Blue Genuine Leather Straps,,,80.0
176,Dooney & Bourke  cream colored Crossbody bag trimmed in rawhide red interior,,,89.0
177,Yves Saint Laurent Beige Quilted Shoulder Bag,,,418.0
178,Stylish Black and Pink Tote Bag,,,10.0
179,"NWT Brown Floral Viral Beaded Handcrafted Made India Woven Tote Shoulder Handbag
          
      NWT",,,50.0
180,"Coastal Woven Shoulder bag and Crossbody, Bright Blue",,,14.0
181,Vera Bradley Mocha Rouge Floral Crossbody Purse Pink Brown Black White Handbag,,,28.0
182,Unknown Brand Faux Leather Bag,,,10.0
183,Boho Tribal Pattern Backpack Native Southwestern Ethnic Vibes School‎ Travel,,,54.0
184,"New Tory Burch WILLA MATTE SMALL SHOULDER BAG Black
          
      NWT",,,478.0
185,Flower Ipsy Light Pink‎ Clutch,,,43.0
186,"Disney Mickey Mouse Cream White and Black Embossed Crossbody Bag Mini Bag NWT
          
      NWT",,,38.0
187,Vera Bradley Crosstown Crossbody in Clementine Bright Florals Pink Flowers Purse,,,22.0
188,Marc Jacobs Limited Edition Party Bow Mini Trouble Bag 2015 resort collection,,,450.0
189,NEW AUTHENTIC ALO YOGA Black Logo Gray Patterned Large Tote Bag,,,50.0
190,"NWT BADGLEY MISCHKA Red Studded Crossbody
          
      NWT",,,63.0
191,Kate Spade Black Leather Wallet 4.25 x 4”,,,45.0
192,Cream colored hobo crossbody shoulder bag,,,36.0
193,Kate Spade New York Jackson Street Mylie Hobo Crossbody Purse Handbag. EUC,,,80.0
194,Coach Women's Cream & Gold Shoulder Bag with Dust Bag,,,125.0
195,Louis Vuitton Authentic Large Magnetic Box Luxury Designer Storage Display,,,75.0
196,Coach Y2K OP Art Julia Tote Shoulder Bag FLAWS,,,92.0
197,Justice Black and Gold Polka Dot Cosmetic Bag,,,13.0
198,Tory Burch Emerson Foldover Pebbled leather clutch or Crossbody Bag,,,75.0
199,New Elegant Brown and Pink Embroidered Women's Bag,,,20.0
200,Diane Von Furstenberg Charcoal Grey and Gold Satchel with Structured Design,,,179.0
201,Vintage Fossil Genuine Leather Handbag Brown Satchel Shoulder Bag East West,,,38.0
202,"NWT MUMU Tan and White Tote Bag
          
      NWT",,,50.0
203,Baggallini On Track Zip Crossbody Medium Travel Vacation Bag Purse Carry-On Red,,,28.0
204,"Kavu ""Winterscape"" Rope Sling Bag Crossbody Backpack Blue Green Mountains Trees",,,39.0
205,Vtg  1970-80s  Woman Black Genuine?Leather/Suede Formal Bag Clip Frame,,,45.0
206,"Steve Madden Bright Green Mini Backpack Embossed Logo Gold Hardware Small Bag 9""",,,18.0
207,Dooney & Bourke 1975 Signature Vanessa Zip Shoulder Bag Limited Edition EUC,,,139.0
208,Relay for life satchel / crossbody new never used gray and‎ purple (520),,,9.0
209,"Coach Bag, Coach crossbody, Coach green bag.
          
      NWT",,,180.0
210,"Coach cloth hobo bag with salmon, colored leather trim approximately 12 x 16 x 3",,,52.0
211,Floral Embossed Leather Backpack,,,59.0
212,Patricia Nash Giada Crossbody,,,110.0
213,Disney Mickey Mouse Black All Over Print Crossbody Zipper Bag Purse Medium Large,,,25.0
214,Steve Madden Bag Crossbody Satchel Shoulder Handbag Purse Tote WOMEN'S WOMAN'S,,,29.0
215,DOONEY BOURKE ⭐️ triple zip pebbled leather croosbody bag,,,150.0
216,Burberry Nova Check Long Wallet,,,175.0
217,Vintage Isabella Fiore Metallic Gold Leather Studded & beige fabric Shoulder Bag,,,58.0
218,Louis Vuitton Neverfull Pink Lining Bag,,,499.0
219,Burgundy Sequin Clutch,,,9.0
220,INC Brynnn Embellished Black Bangle Clutch,,,25.0
221,Fashion Checkered Small Bag - NWOT,,,45.0
222,Louis Vuitton Monogram Elise Compact Wallet,,,275.0
223,Rothy’s the handbag RARE sage green and black tote/crossbody bag purse EUC,,,399.0
224,"Juicy Couture Chestnut Chino Multi Rosie Mini Backpack
          
      NWT",,,75.0
225,Cole Haan Navy Blue Zero grand Nylon Backpack,,,36.0
226,Gorgeous Red & Tan Silver Hardware & Zippers Double Handle Victoria Roberts Bag!,,,18.0
227,Christian Louboutin Black Leather Loubi54 Panettone Clutch Shoulder Bag,,,899.0
228,Coach Kristin 15016 Gold Khaki Metallic Op Art Leather Hobo Bag,,,35.0
229,"Boho Chic Backpack - Ethnic Inspired Pattern - Hand Beaded Accents - Fine Cotton
          
      Boutique",,,74.0
230,Lululemon Beige Tote Bag MULTIPLE AVAILABLE,,,12.0
231,Vintage Chestnut Brown Coach SoHo Leather Wallet with Buckle Detail,,,66.0
232,"Stylish Cream Canvas Cosmetic Bag by
          
      NWT",,,10.0
233,Original painted canvas bag,,,10.0
234,4 Extra Shipping Labels for Live Show!,,,30.0
235,Moda Italiana Two Tone Leather Crossbody Bag Brown Black Flap Closure Gold Tone‎,,,30.0
236,Tilley Wallet Brown Leather Travel Organizer Passport Holder Vintage,,,20.0
237,EUC Vera Bradley Crossbody Wallet,,,28.0
238,Louis Vuitton NM Portefeuille Sarah,,,3599.0
239,Kate Spade Neda Grove Street Wallet Wristlet,,,54.0
