,listing,brand,price
118,"Patricia Nash Lanza Bag Womens Small Black Studded Coin Crossbody Leather Purse
          
      NWT",,130.0
119,"NWT! Kate Spade Small L-zip Bifold Wallet, Floral Pup, Cherrywood (ONE SIZE)
          
      NWT",,96.0
120,Leather Mini Backpack Purse Convertible Shoulder Bag Travel Fashion,,83.0
121,Vintage BURBERRY Haymaket Check Shoulder Tote Bag Canvas Coated Leather T-05-02,,280.0
122,LOUIS VUITTON Monogram Hampstead PM Hand Bag SP order M51168 LV Auth am2327gV,,3729.0
123,Daniella Bag Black Quilted Leather Crossbody Gold Chain Strap Evening Purse,,33.0
124,"New Purse Cross Bag Handmade Embroidered Colorful Patterned
          
      NWT",,43.0
125,Louis Vuitton Monogram Canvas Crossbody Bag Brown & Beige Trimmed,,1099.0
126,Teacher Bags for Women 15.6 Inch Laptop Work Tote Comfortable Quilted Shoulder,,92.0
127,"Wrangler Genuine Hair-On Cowhide Wide Tote/Crossbody Red
          
      NWT",,85.0
128,"NEW Women’s Kipling Kieko Blooming Pink Crossbody Bag
          
      NWT",,30.0
129,Michael Kors Black pebbled leather shoulder bag.,,55.0
130,Noonday Collective Valencia Summer Tote Beach Bag Bucket Nautical Blue White,,49.0
131,Vintage-Inspired Upcycled Neil Young Crazy Horse Album Graphic Tote Bag,,60.0
132,Olga Berg: Natasha Ball Mesh Clutch in Silver $85. Missing Clasp But Stays Close,,20.0
133,Coach Floral Flap Card Case,,82.0
134,"MICHAEL Michael Kors Lyra Small Zebra Print Calf Hair Pochette - NWT
          
      NWT",,309.0
135,Tommy Hilfiger sharp Black and Cream canvas monogram spacious satchel,,30.0
136,"Steve Madden White Purse Gold Chain Crossbody Handbag New
          
      NWT",,60.0
137,"Pick one! NWT genuine leather minimalist slim wallet credit card holder
          
      Boutique",,24.0
138,Coach Tote Retro 80s 90sSoho Boho Designer Spring Traditional Y2K Vermillion,,70.0
139,Tory Burch,,270.0
140,"Kate Spade Perri Lane Lynn Tote Ivory Leather
Very Gently Used",,69.0
141,Free People Distressed Black Leather Mini Crossbody Bag,,38.0
142,Louis Vuitton Hand Bag Houston Yellow Vernis,,314.0
143,"Kate Spade New York Black Sadie Crossbody Bag Saffiano Leather NWT
          
      NWT",,106.0
144,Tan Woven Purse,,15.0
145,NEW Kate Spade Wicker Satchel,,129.0
146,"FINAL PRICE -Brand New•TORY BURCH•Blue Ella Nylon Tote Bag
          
      NWT",,248.0
147,Croft & Barrow Tropical Leaf Cream Tan Green Bag Adjustable Strap (See All Pics),,18.0
148,Tory Burch half moon patent leather brown purse with crossbody strap,,158.0
149,"T.J.Maxx Football Print Tote Bag - Brown and Orange
          
      NWT",,9.0
150,Burberry Travel Bags,,740.0
151,Pink Victoria’s Secret Gym Duffle Weekender Bag,,40.0
152,SN & fashion. Deauty 1987 Crossbody Bag –,,34.0
153,Louis Vuitton Neverfull GM Bag,,499.0
154,"Chanel Vintage Spring 1999 Beaded Chainmail Bum Bag- NWT
          
      NWT",,2200.0
155,Tan Crossbody Bag,,21.0
156,Cole Haan Dillan Leather Tote Shoulder Bag Hobo Purse Cream,,89.0
157,Elegant Tutilo Two-Tone Crossbody Bag,,26.0
158,Vera Bradley Harry Potter,,75.0
159,Gucci authentic replacement parts for vintage bag NEW,,150.0
160,"Loeffler Randall Walker Suede Tote
          
      NWT",,225.0
161,Super Sweet Spring 🌺 Summer 🌻 Katie Doucette Casual Drawstring Backpack L👀k,,18.0
162,FjallRaven Kanken Rainbow Backpack for Everyday Warm Yellow / Rainbow,,35.0
163,Blazin‎ Roxx purse and wallet.,,25.0
164,COACH grey and beige adjustable crossbody,,125.0
165,Minnetonka Black Suede Fringe Crossbody Saddle Bag Boho Western Festival,,36.0
166,Fossil Vintage Black Explorer Crossbody,,55.0
167,Patricia Nash Shoulder Bag!,,75.0
168,100% Auth Prada Black Leather Wallet with Iconic Logo,,143.0
169,MIU MIU Continental Zip Aroundd Wallet in soft leather PINK IN MINT condition.,,212.0
170,"Brighton Under The Sea Cosmetic Pouch‎ new
          
      NWT",,75.0
171,PINK Victoria’s Secret Tropical 🩷💙 Ombre Palmtree 💙🩷 Tote Bag,,19.0
172,Floral Tote Bag with Pink and Green Accents,,24.0
173,Tan Coin Purse with Clip u.s polo assn,,8.0
174,"Tampa Bay Buccaneers Red Sling Bag, Backpack, Crossbody with Bucs Logo, Trendy",,16.0
175,Styline Catalina Tan & Cream Tones Woven Bag; Oval Bottom Zip Top Straw Look,,24.0
176,👜 Vintage Coach city bag  6790,,450.0
177,Louis Vuitton Speedy Top Handle Bag Damier Azur,,995.0
178,"Kate Spade Leila  Colorblock Large Continental Wallet In Warm Beige
          
      NWT",,120.0
179,Steve Madden Yellow Mini Bag with Top Handle and Detachable Chain Strap,,25.0
180,Vtg Bally Leather Camera Bag,,125.0
181,Mayfair Canvas Tote Everyone’s Welcome Here Green‎ Font,,30.0
182,Elegant tan Shoulder Bag,,21.0
183,Coach Pastel Pink Blue Beige Sateen Zip Wristlet Designer,,21.0
184,🌹Aupen Nirvana Noir Calfskin Bag,,135.0
185,Burberry Beige Accessory Pouch,,40.0
186,"Stylish Navy Tote Bag with Pink and Green Accents
          
      NWT",,59.0
187,Elegant Black Handbag and wallet set,,30.0
188,6.5x8.5” Alaia Paris Dust Bag,,40.0
189,Tag list,,100.0
190,Chic Tan Handbag with Gold Lock,,10.0
191,Hat club gift shopping bag,,6.0
192,"NWT! Lululemon Everywhere Belt Bag 1L
          
      NWT",,60.0
193,Pixie Mood Zoe Crossbody Purse in Olive Green,,35.0
194,Dooney & Bourke White Brown Leather Purse Satchel Doctors Bag,,125.0
195,Helen welsh black genuine leather satchel purse,,10.0
196,COACH - Madison pebble leather Phoebe satchel- F34495 -NWOT,,200.0
197,Fendi Black and Brown Logo Wallet | Very Good Condition,,269.0
198,HELLO KITTY TRAVEL COSMETIC GROOMING BAG,,28.0
199,Vera Pelle Navy Blue Leather Hobo Bag Ring Detail Whipstitch Made in Italy,,30.0
200,Kate Spade Midnight Black Zip-Around Wallet,,199.0
201,Vera Bradley Pink Woven Petal Paisley Straw Bucket Tote Beach Shoulder Bag Purse,,13.0
202,LOUIS VUITTON DELIGHTFUL MM size [EUC],,1850.0
203,Coach brown signs hobo bag,,216.0
204,Alba Two-Tone Leather Bucket Bag Vintage,,35.0
205,COACH Central Jumbo Whipstitch Pebble Leather Satchel/Crossbody Bag,,199.0
206,Gucci Large Guccissima Leather Wallet,,185.0
207,"NWT Michael Kors Mae Tote Purse Medium Leather Rose Color Bag
          
      NWT",,125.0
208,"💎✨BUNDLE OF 6✨💎AUTHENTIC Coach, Kate Spade, Gherardini Tote bags",,659.0
209,Beautiful Small Snakeskin Patterned Shoulder Bag,,15.0
210,"Relic Straw Women's Woven Tote Bag Leather Handles Summer Beach Shoulder Purse
          
      NWT",,45.0
211,"Trader Joe’s Mini Tote Bag New Limited Edition
          
      NWT",,25.0
212,"Juicy couture bestsellers barrel crossbody purse
          
      NWT",,60.0
213,Fluffy tote,,10.0
214,Vera Bradley Floral Patterned Duffle,,65.0
215,VIBEDRATION Rose Gold Holographic Water Backpack Festival Rave Travel Bladder,,48.0
216,Tumi Toiletry bag,,30.0
217,Coach Metallic Gold tag,,25.0
218,"Nine West Horse Whisperer Bag Brown Leather Crossbody Large Deadstock NWT $79
          
      NWT",,55.0
219,Vintage Coach Wristlet?,,100.0
220,Unionbay Tropical Cotton Sling Rope Bag Adjustable Strap Pockets College Office,,17.0
221,"Disney X Primark Winnie the Pooh Backpack
          
      NWT",,50.0
222,"Western Dark Brown Cowgirl Tweed Turquoise & Silver Crossbody Canvas Toole…
          
      NWT",,18.0
223,"Tory Burch Emerson Patent Leather Slim Card Case Royal Burgundy NWT
          
      NWT",,75.0
224,"MICHAEL KORS Jet Set Medium Metallic Logo Debossed Satchel
Cherry 
NWT",,179.0
225,Dagne Dover Signature Classic Tote Bag,,53.0
226,Chic Blue and Cream Tote Bag,,18.0
227,Black Lulu handbag,,10.0
228,"Tory Burch T Monogram Cat Printed Belt Bag Crossbody Bag Gray Cat Portrait
          
      NWT",,550.0
229,Vintage Franchi Collection Envelope Purse Handbag Red Paisley Textured Leather.,,28.0
230,New Free people hogan sling bag $98 belt bag blue,,66.0
231,Badgley Mischka‎ Black Gold Quilted Studded Shoulder Bag Chain Strap Elevate,,28.0
232,COACH VANVAS BIFOLD WALLET IN EXCELLENT USED CONDITION,,99.0
233,"KARL LAGERFELD PARIS
Nouvelle Mini Crossbody - Silver NWT
          
      NWT",,199.0
234,Liz Claiborne Brown Crossbody Bag,,25.0
235,Gucci GG Marmont Red Long Wallet,,349.0
236,DKNYC Black and Red Wristlet,,15.0
237,Fashion backpack in black and gold - NEW,,59.0
238,Vintage Dooney & Bourke Shoulder Bag,,32.0
239,Montana West Tan Embossed Clutch,,19.0
